                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.74295,                0.62575,                0.99687,                0.91566,                0.85415,                0.92083,                0.71232,                0.68981,                0.59849,                 0.9163,             0.00099862,             0.00099862,             0.00099862
                     83,                0.74728,                 0.6286,                 1.0119,                0.91721,                0.84193,                 0.9147,                0.71518,                0.66738,                0.61795,                0.91562,             0.00099036,             0.00099036,             0.00099036
                     84,                0.75467,                0.62131,                0.99399,                0.89604,                0.86949,                0.92085,                0.72154,                0.66736,                0.58135,                0.90616,             0.00098211,             0.00098211,             0.00098211
                     85,                0.73299,                0.61069,                 1.0038,                0.90245,                0.87102,                 0.9212,                0.72656,                0.64829,                0.54994,                0.89921,             0.00097386,             0.00097386,             0.00097386
                     86,                0.74012,                0.62247,                0.99821,                0.92123,                0.84946,                0.91335,                0.72444,                0.66022,                0.55787,                0.90924,             0.00096561,             0.00096561,             0.00096561
                     87,                 0.7461,                0.61511,                0.99988,                0.92686,                0.85191,                0.92059,                0.72996,                0.62851,                0.55582,                0.90157,             0.00095736,             0.00095736,             0.00095736
                     88,                0.71604,                0.59533,                0.99036,                0.88049,                0.88459,                0.91929,                0.72968,                 0.6294,                0.54783,                0.89268,             0.00094911,             0.00094911,             0.00094911
                     89,                0.70368,                0.57549,                  0.953,                0.90276,                0.88342,                0.91568,                 0.7291,                 0.6295,                0.53975,                0.89552,             0.00094085,             0.00094085,             0.00094085
                     90,                0.71056,                0.57265,                0.98035,                0.91503,                0.88782,                0.91771,                0.72623,                0.65461,                 0.5279,                 0.9047,              0.0009326,              0.0009326,              0.0009326
                     91,                0.70875,                0.56253,                0.99015,                0.91537,                 0.8939,                0.91825,                0.73037,                0.62846,                0.52232,                 0.8939,             0.00092435,             0.00092435,             0.00092435
                     92,                0.71165,                0.56467,                0.99301,                0.91457,                 0.8967,                0.91833,                0.73091,                0.62696,                0.52406,                0.89131,              0.0009161,              0.0009161,              0.0009161
                     93,                 0.6994,                0.59896,                0.97862,                0.91496,                0.89636,                0.91952,                0.72444,                0.61069,                0.52118,                0.88706,             0.00090785,             0.00090785,             0.00090785
                     94,                0.70511,                0.59934,                0.99848,                0.91685,                0.89814,                0.92768,                0.72747,                0.60732,                0.52188,                0.88587,              0.0008996,              0.0008996,              0.0008996
                     95,                0.68527,                0.60639,                0.98507,                0.94544,                 0.8797,                0.93269,                0.73987,                0.60902,                0.49945,                0.88168,             0.00089134,             0.00089134,             0.00089134
                     96,                0.69441,                0.58616,                0.99421,                0.93883,                0.88766,                 0.9261,                0.74529,                 0.5887,                0.49415,                0.87702,             0.00088309,             0.00088309,             0.00088309
                     97,                 0.7082,                0.56899,                0.99955,                0.92913,                0.88785,                0.92737,                0.74677,                0.59085,                0.50752,                0.88202,             0.00087484,             0.00087484,             0.00087484
                     98,                0.69351,                0.57428,                0.98529,                0.92925,                0.87903,                0.92387,                0.73864,                0.62032,                0.51605,                0.88778,             0.00086659,             0.00086659,             0.00086659
                     99,                0.69467,                0.59601,                0.98362,                0.93931,                0.87484,                0.91973,                0.73835,                0.59767,                0.49287,                0.88142,             0.00085834,             0.00085834,             0.00085834
                    100,                0.69048,                0.57663,                0.99829,                0.93617,                0.86987,                0.92462,                 0.7388,                0.60378,                0.50361,                0.88424,             0.00085009,             0.00085009,             0.00085009
                    101,                0.66596,                0.56074,                0.97912,                0.94263,                0.86731,                0.92859,                0.74401,                 0.5899,                0.49823,                0.87665,             0.00084184,             0.00084184,             0.00084184
                    102,                0.69349,                0.59116,                0.98063,                0.93703,                0.86414,                0.92917,                0.74966,                0.57753,                0.49688,                0.87206,             0.00083358,             0.00083358,             0.00083358
                    103,                0.71205,                0.58322,                0.98224,                0.88514,                0.90412,                0.92516,                0.74988,                0.56423,                0.48493,                0.87026,             0.00082533,             0.00082533,             0.00082533
                    104,                0.69018,                0.60007,                0.98456,                0.92064,                0.86815,                0.92557,                 0.7622,                0.57439,                0.47798,                0.88062,             0.00081708,             0.00081708,             0.00081708
                    105,                0.69013,                0.57418,                0.98079,                0.90258,                0.89978,                 0.9242,                 0.7554,                0.56977,                0.48243,                 0.8744,             0.00080883,             0.00080883,             0.00080883
                    106,                0.66332,                0.54039,                0.98581,                0.92136,                0.90025,                0.92882,                0.75662,                0.56268,                0.47086,                0.86278,             0.00080058,             0.00080058,             0.00080058
                    107,                0.66087,                0.54884,                0.99138,                0.92911,                0.89355,                0.92678,                0.74946,                0.58981,                0.48421,                 0.8732,             0.00079233,             0.00079233,             0.00079233
                    108,                0.67811,                0.56991,                0.97959,                0.90402,                 0.8883,                0.92339,                0.75748,                0.57285,                0.47798,                0.86712,             0.00078407,             0.00078407,             0.00078407
                    109,                0.66536,                0.55087,                 0.9656,                0.91957,                0.87678,                0.92418,                0.76588,                0.56092,                0.46574,                0.86437,             0.00077582,             0.00077582,             0.00077582
                    110,                 0.6462,                0.55471,                0.96128,                0.93218,                0.87791,                0.92288,                0.75853,                  0.568,                0.46141,                0.87014,             0.00076757,             0.00076757,             0.00076757
                    111,                0.67457,                0.56132,                0.97994,                0.91465,                0.88105,                0.91981,                0.75856,                0.57503,                 0.4717,                0.87243,             0.00075932,             0.00075932,             0.00075932
                    112,                0.63422,                0.52722,                0.96105,                0.91452,                0.89828,                0.92469,                0.76377,                0.55176,                0.46012,                0.86145,             0.00075107,             0.00075107,             0.00075107
                    113,                0.64598,                0.53646,                0.96478,                0.91306,                0.90245,                0.92635,                0.76847,                0.54777,                0.45736,                0.85664,             0.00074282,             0.00074282,             0.00074282
                    114,                 0.6154,                0.54049,                0.94066,                0.90745,                0.90307,                0.92577,                0.76975,                0.53645,                0.45398,                0.85151,             0.00073456,             0.00073456,             0.00073456
                    115,                0.64228,                 0.5253,                0.96294,                0.91201,                0.89254,                0.92788,                0.76729,                0.54354,                0.45421,                0.85472,             0.00072631,             0.00072631,             0.00072631
                    116,                0.66287,                0.52568,                0.97459,                0.94262,                 0.8849,                 0.9294,                0.76739,                0.54177,                0.44839,                 0.8542,             0.00071806,             0.00071806,             0.00071806
                    117,                0.62742,                0.50183,                0.96847,                0.93964,                0.88884,                0.92899,                0.77148,                0.53645,                0.44197,                0.85218,             0.00070981,             0.00070981,             0.00070981
                    118,                0.64766,                0.53062,                0.97215,                0.92325,                 0.8975,                0.92953,                0.77717,                 0.5374,                0.44258,                0.85431,             0.00070156,             0.00070156,             0.00070156
                    119,                0.63173,                0.55055,                0.95531,                 0.9229,                0.89537,                0.93273,                0.77912,                0.54573,                 0.4399,                0.85917,             0.00069331,             0.00069331,             0.00069331
